,Sentiment,Tweet
33,negative,cowok anjing cuihhh orang kaya koar saya orang ping kaya dunia orang tahu kalau orang kaya orang kaya malahn perilaku orang sederhana pamer kaya dunia akhirat mampus kamu harta tidak bawa mati pants buang laut kamu orang anehhh
34,negative,cari sensasi tenar trus banya folowers nya gak begitu begitu juga kalee darar orang tres bicara saja belepotan gk begitu kamfungan
35,negative,bicara saja belepotan gaya kamu banci
36,negative,orang banyak makan tahi gin otak sudah penuh tahi jadi gak berfikir positif bicara saja gak moral dasar kaum2 laknat banci anjing kbanyakan burit sih kamu jadi stres manusia tidak mau jumpa kamu anjing anjing yang ketemu kamu tahi
37,negative,sikat abiss lahh orng2 sial kaya gin pimpin negara gak hormatin jangan mentang2 president sembarangin marah gak hina pimpin harap tindak hukum orng ini
38,negative,jijik banget lihat tingkah si upil mudah2an cepat tidur
39,negative,edan ini orang udh makan uang rakyat tidur
40,negative,manusia laknat mati apain
41,negative,sakit otak hati mah sudah gak nurani urat malu pajak loh ngegaji orang2 gila hormat
42,negative,anak babi bangsat ken sumpel timah panas mulut kamu biar modar
43,negative,ken sumpel timah panas mulut si anak babi pesek buruk rupa
44,negative,hai anak bangsat babi pesek buruk rupa keriting ken penggal leher kamu sampai putus lumayan makan tidak setia
45,negative,ratu pelakor jagat raya dimana2 lonte gak mantri hutan dan lurah yang ngerasa lonte mantri hutan dan lurah dikit
46,negative,mahhhh temu buah ranum buah busuk deh tahu yang busuk yang manah mentok2nya mah gitu saja kalau pelakor
47,negative,ah manda mah gatel nggak liyat cowo dikit langsung sosor begok aje yang sama manda kegatelan cewek
48,negative,si amanda muka tante umur tapi muka boros banget dasar cabe jujur saya mah kgk suka sama ini haltis
49,negative,astagah suka sama cewek dekil mel nagita turun att nagita kaya emas att kaya barlen
50,negative,alah laki laki jaman skrg sm saja bejat ustad seperti seperti gila banget sm perempuan yang istri stju banget sm yang bilang ustazah msuk surga bkan krna poligami masih banyak yang bisa jadi akhlak bisa masuk surga yaa smoga saja sih perempuan perempuan pelakor luar sna azab yang gak ampun hidup gk selamat dunia akhirat
51,negative,gilaaaaa pelakor bnget laki2 gatal alas poligam woiii mikir pakai otak haduh pikir orang pintar tahu agama buruk allah uji setia nafsu eh kaya gtu sakit istri sja tutup pintu rejekimu anak istri kamu korban sbg seorg imam keluarga gagal mmpertahankan rumah tangga coreng nama nya sendiri smua orang suka skrg benci m
52,negative,biasa kalau pelakor lbh hancur muka istri sah barang bagus cepat laku pelakor jelek laku ngembat laki orang sudah sama2 gatel cocok wes
53,negative,lama2 tidak suka deh sm ini ertong caption ig story nya bicara orang mlu orang jadi ambigu nilai si a si b si c sudah begitu kaya zholimi salahinnya lawan jangan bicara status ah nya dewasa
54,negative,pikir manusia bodoh eehhh tante ibu oma empo otak kamu picik bngt juga manusi larang emang dunia orang larang ngungkapin unek2 stupid human
55,negative,heran deh yang ngatain si via baperan wajib ajar dese baper udin muak orang yang munafik sok an dese kabar yang baperan laki orang nggak nyadar tuh puja att gotong royong nasehatin att gila muja att mojokin viaa dese manusia les ahh
56,negative,yang komen via nyinyir melulu aduh kyak gak nyinyirin orang saja parah kalau orang sok benar mah gitu pdhal media sosial hak instagram instagram yang nyinyir gak pakai ig s
57,negative,pikir manusia bodoh eehhh tante ibu oma empo otak kamu picik bngt juga manusi larang emang dunia orang larang ngungkapin unek2 stupid human
58,negative,nya ngatain orang nyindir netijen goblog banyak masyako
59,negative,didik ortunya nagita bagus heran dengan balajaer nagita yah yang rugi sm junjunganny kenapa yang benci bodoh banget asli
60,negative,pdhl kilometer kampung loh pakai kerudung mulut cuihh
61,negative,belajaer tuh hahahaha bela artis ampe begitu manusah2 begoh
62,negative,iya norak kampyuung coba lihat artis adem ayem lihat isyana lihat agnezmo lihat mbak liaaat liat saja coba telaah deh kasih tahu contoh artis better eh jawab cocok lah
63,negative,gak sok high class mbak lihat komenmu artis beda2 mbak yang suka curah hati ig yang curah hati teman yang curah hati tuhan ngak trus mulut situ maju otak mikirnya yang curh
64,negative,bodoh gak netizen yang kontra sm postingan si via bakajaer kali mbak mas ih bodoh piara tertawa
65,negative,sih emg artis komando artis indo ny urus prestasi sosmed ny melulu isi nya jadi jatoh nya kampung
66,negative,saja knot ya mbak kaya agnes mau banyak harga ny tapi g kampung beda am yang
67,negative,munafik banget yang bicara curah hati sosmed kampung saya kamu kitu keleusss wkkwkww lebih baik mbak via artis cantik bisa nyanyi lah kamu lbh kampung wkwkwkwkw
68,negative,wawan zzzzz memang artis nggak tmn dikit dikit att hahaha curah hati sosmed kampung
69,negative,lemes mulut berani ststus sudah gitu tulis sengaja biar nggak baca takut kali labrak mmmm artis kampung sih wajib ajar
70,negative,main main jawa timur biar nggak begok
71,negative,nya ngatain orang nyindir netijen goblog banyak masyako
72,negative,sudah nunjukin karya situ pny karya karya nyinyir hidup via tolol
73,negative,bilang saya fansnya via aduh nantangin saya ini orang anak tolol anak norak jarang belai
74,negative,yutub mbak aplikasi saya tau youtube mbak gak tahu seseorg bisa dapat hasil salah satu dr youtube loh mreka juga bayar kalau banyak yang nonton video mreka sekolah yang benar deh mbak biar pinter generasi muda
75,negative,saya suka gangerti deh yaa kalau via vallen bikin status apa sangkut pautin sama att melulu att nya saja saja fansnya sih yang bikin jelek orang kalau sangkut pautin melulu juga lama gerah kali
76,negative,jujur saja ini orang bagus tidak oplas tu foto belum dn oplas dioplas muka aneh kyknya gagal oplasnya
77,negative,noraaak abiiis kebel emas astrazeneca pamer aplg main berlian ciiinnnnn
78,negative,before and after pasca oplas nggak ngefek tetep jelek dan rem muka ahahahhaha
79,negative,salfok muka sumpah jelek oplas model failed
80,negative,norak benar gaet jahat
81,negative,najis di philipine banget kali di saja bangga jadi usak moral komando bangga najis banget liat cukup di saja komen ny pngn ngetop lewat nitezerrre wkwkwk ngarep laku
82,negative,saya bingung jujur media rebut ngeliput orang kayak cuman net doang media informasi waras
83,negative,jedun yang nggak becus perempuan hormat nggak becus perempuan cerdas nggak becus perempuan yang cari suami sah suami orang nggak becus perempuan yang hindar narkotika psikotropika dan obat larang nggak becus perempuan yang jaga nama keluarga moga perempuan yang kayak dunia jedun
84,negative,cewek yang bgni yang hrsnya gosong jadi abu saja bakar pabrik yang lagi viral kemarin tu bnr2 slain nggak brguna gda otak cm modal ngangkang terus gebet laki orang terus bangga ngomong-ngomong kalau emg instastory nya nyindir bin tua mah ehhh at least biar nggak becus jadi prewi tapi becus cuii jadi emak bukti anak nya banyak terus smua profesional emaknya drpd bapak
85,negative,hahaha kasi gak becus rem ngerebut laki orang biar kata perempuan dasar perempuan sadar ente cuy
86,negative,dasar artis abal abal enggk laku layar kaca udh enggk duit kelompok remaja miskin main ke dukun elmu pelet rebut suami orang yang kaya
87,negative,ih becus makrum becus ngrebut suami orang he
88,negative,eeee si lacur situ becus jadi brempuan emang becus sampah sih iya edeuuuuuh lonte lonte
89,negative,biarin puas puasin selagi deseu brasa muda nanti kalau deh tua nyaho karma
90,negative,anak perempuan lho contohin jelek anak becus perempuan amit amit
91,negative,kaya becus saja jadi permpuan yng g becus jadi perempuan komando suka sm laki orng heheh
92,negative,yang gk becus tuh loh jedun hidup nya bisa ngerusak kbhgiaan orang mau hidup serba mewah tapi g krja mlh morotin laki orang karma pasti akn mnghampirimu
93,negative,saya gak suka sm ini orang idupnya banyak ribut
94,negative,dasar artis abal abal enggk laku layar kaca udh enggk duit kelompok remaja miskin main ke dukun elmu pelet rebut suami orang yang kaya
95,negative,yang nama ny plagiat plagiat laku tapi tetep ajah cipta dari hasil plagiat wkwkwkwk saya mah tidak mau dwngerin ajah udh pngen muntah
96,negative,dasar plagiat nggak kreatip memalukab banget
97,negative,bego bilang apa yaaa lirik saja cinta gitu lagu bener2 tolol si ayu gapunya kuping ya orang yang dipermasalahin nada
98,negative,pacar anggel pietrs kali cowok bocah yaelah jes terxta laku mu saja seperti ayuting2 hidup penuh drama murah
99,negative,japok gateeel emang uda main si mamad sampai si jessica dimusuhin deddy corbuzier saja jijik si japok semenjak nagita undang hitam putih nagita cerita panggung saja sih saya
100,negative,malu buk bicara pelakor emang ibuk sudah pelakor tahu ayu pelakor wkwkwkwkwk awas rumah tangga yang dimasukin pelakor anak pelakor
101,negative,kerdus mulut busuk sampah makan
102,negative,tai kamu gedein bagus pupuk jngan banyak bicara kamu bodoh ini cewek kenapa bawa2 suku
103,negative,elo artis papan blenyek saja belagu artis kga populer sekalu hahaha
104,negative,anang muka nya kaya babiii gitu saja demenin jijikk
105,negative,nggak suka ayu ting ting nggak parah ngejudge nya hati otak manusia kurang lebih asa enak nya menjudge orang kaya sudah sempurna saja kamu
106,negative,nggak pantes panggil ustad orang munafik ceramah orang laku sndr saja menzolimi istri sah nya dengan poligami diam2 kasihan istri pertama nggak tahu mantri hutan dan lurah istri hadeh kalau yang masih manggil buat ceramah nama bodo
107,negative,biadab kalau anak kamu bully saya mampusin
108,negative,dasar anjing tuh cowok orang berani cowok one by one yang lemah dasar yah cowok2 jaman skrg casing doank cowok nyali nya lebih2 banci
109,negative,iya kasi si micin usah produk micin iklan kalau masak tambah micin biar sedap netizen sudut mecin bodoh orang yang ganggu jiwa ngemil micin
110,negative,wahh jngn2 vidio baju norak bngtt ayuu murahaan
111,negative,bego kamu
112,negative,edit banget ampun si mommy lambe habis gosib si pelakor
113,negative,yah admin nya golong konsumsi mecin pria idam lain pcc otak kamu rusak min
114,negative,orang govlok yang prcya ayu slgkuh sama rafi bukti rafi sama gigi skrg baek2 saja ktamu ayu pelakor suami yang di rebut woyy skrg ayu suami fikir pke otak mkanya jangan kbanyakan micin jadi govlok
115,negative,hoy baris sakit hati jijikk banget fans billy mah alhamdulillah banget billy putus manusiaa buluk ituu yang tunggu lama2 akhiry putus kobil juga jijik ini orang v
116,negative,mbak gak ngerasa cinlok babang anthony ketemu sih set boy alah aku ajaaa mbak dumang cinlok sok2 bilang gak cinlok nama bodoh wajib ajar netizen bilang ratu cinlok nyata emang marah resiko artis hahahhaa pinter2 mbak cari alas hahahahaha
117,negative,noh urus tu kuin kamu biar nggak gatel nempel2 sama laki orng masyarakat udh tahu kali japok gundik janda gatel udh nyata nya begtu anak sholehah agama nya kuat mata kuliah agama cma dapat 1 agama nya kuat tapi hamil
118,negative,bilang tu kuin kamu gesek grepe sama lakik orng nggak mantri hutan dan lurah udh hamil nikah kegatelan janda
119,negative,please kamu bela pelakor hukum si muljem karena uda tega recut suami sahabat jalan sanksi sosial valakor mesti benci karena biar nggak valakor indonesia biar musnah sem
120,negative,najis muakk jijik pelakor jijik
121,negative,moga pelakor2 kena karma moga karma yang tinggal istri yang bwrjuang dengan dr nol tapi sukses selingkuh sok jadi kuasa istri
122,negative,sedih skrg ngamen kawin orang mantan istri mahhhh pesawat jet bhay pelakor dan botakbego
123,negative,heeehh kamu pelakornya yaaaakkk ngapa kamu emosi situuu kenal saya kalau berani pakai akun asli pantes pakai akun bodong ngerebut laki orang diem2 ceplos yak pakai bodong tertawa gueeee lucu kamu
124,negative,wkwkwkwk udh gak laku jadi nyanyi dhajatan si lonte pelakor
125,negative,wakakak cerita seperti gituu ajar saja jangan sampai ini swamik swamik milih pelakor drpd istri hancuuurr bookk nggak bohong deh kelompok remaja kismin nyungsep emang yang ngatur rezeki tu tuha
126,negative,cwenya yang bego cwonya yang pinter emg laki kaya macho gitu plus nya kayak jago suka rayu maennya gesit ulala
127,negative,yang bodoh sedang apa keluarga depok komen orang yang gak saja yang hidup gak bahagia yang suka hujat orang hidup artis ayu pengaruh emang dasar benci ayu kalau
128,negative,mah lihat yang main prasangka kayak kamu kamu haters kayak dukun dukun titis dajjal sok pinter otak kosong maaf ye saya bala nabi muhammad yang percaya kalau udh ditunjukkin 4 saksi bukti kalau
129,negative,mata ku sepet baca koment fans ubul empang minggir woy bikin rusuh saja ini jaer amis jijik sumpah soal enji sm cewek ttp saja bala jaer nyampah bikin ribut
130,negative,sih si enji hart males banget jijik laki model mah gak tanggung jwbnya ayu bunting tinggalin anak gak akuin skrg anak udh nongol bilqis cantek eh sampek bini nya ngeposting yang enji kangen anak najonggg jijik betoll deh deh min gak bahas laki hart saja gak panutan yang ambil
131,negative,bego nya percaya diri bicara yang bilang benar bukti saja tidak lihat pinter jatohnya bego
132,negative,bilang enji ganteng bebas slingkuh bego kali ganteng kepala kamu bau menyan gada ganteng ganteng nya banyak gaya seperti mantan bini depok nya
133,negative,sebenarnye cocok enji att gateeeel hahah pantesan si tongtong temu dengan enji udh hukum alam kalau jodoh cermin si entong hrsnya bekaca dengan biar sadar tapi teryata otak 1 m tetep tahan jadi skrg mlh guatelnye saja seperti enji hah
134,negative,oalaahhh saja pelakor laki nya juga kegatelan tapi nama laki kucing ksh ikan jaer gratis kga nolak wkwkkwkw
135,negative,laki2 sis suka pecun2 murah prempuan baik2 jilbab atau pintar enji2 downgrade sih dangdut kelas prempuan jilbab ehh milih perek culun jelek selera
136,negative,motorninja saja sombong mbak orang yang mobil lamborgini saja wae
137,negative,bodoh saya nonton kali kaget
138,negative,nggak usa pakai anjing babi kalau saya balas gitu wkwk
139,negative,kemarin harga karya orang bilang jelek banget aduh penganten perempuan nya kenyang yah ampe kembung gitu perut nya
140,negative,percaya gimik raffi gigi dn att att serta keluarga hujad dn anak ny hujad kesini tonton bodohin publik yang kasihan penghujad nggak ayu nggak pesbukers biar ngeluarkn album single artis hal nengri gimik yoo
141,negative,kalau benar gimmick bodoh banget si ayu rating dan popularitas berani taruhin harga nilai buruk mata masyarakat
142,negative,susah otak diemvang mah bikin rusuh lapak orang
143,negative,najiiisss kayak si mbak dese nggak gitu ajaaa hahahahaha maling teriak maling ngaca buuuuuk
144,negative,iyak kaa hahahahah geli banget gasih att ih kampung habis
145,negative,joget bikin ngakakkk anjirrrr kampung banget
146,negative,bagus lah saya otak gak kayak kamu mantri hutan dan lurah maluin ibu kamu saja tong akun asli pakai tu yang nama bego
147,negative,yang bego mah kamu sih yang beri contoh buruk anak pakai mata kamu emg dugem bawa anak bego sih - - jaman sudah texas saya jamin jam anak juga udh texas nggak ngerugiin kamu ya sudah sewot banget
148,negative,si wanita jahiliyah lesbi skrg udh py pacar lagi kasi anak kemarin ksh bencana slnya tega misahin anak dr nya ktakutan anak nya masuk islam pdhl bp nya g pernah nuntut anak peluk islam udh ksh nikmat anak 3 orang masih saja nakal
149,negative,saya emang kador artis beneran komen kamu tolol sumpah kenal nilai artis hahaha orang indo juga tuju kalau kador artis tapi celebgram dr kampung kamu tahu beda artis dengan selebgra
150,negative,hahahaaaa terus saya kamu tolol pakai tanya kador banci tidak belum kenal wkwkwkwkw eh orang juga nilai si kador banci beneran dr gerak gerik melambay suara ngondek pakai baju cewek nyaman cowok tu
151,negative,maklumin shaaay fans gatis keras otak bebel realita juga nggak terima hal nagita artis uda dr jaman eh bilang numpang tenar rapi mamad pdhl yang jadi si mamad gede ya ph dan
152,negative,bee idih najong kamu tag2 orang nimbrung saja seperti mujaer kamu nggak kenal kalau nggak bawa2 nama ayu ting ting sm nagita aduh bego piara kasihan
153,negative,langsung bilang yang maksud klu gin nama munafik
154,negative,jedar emg muka 2 kali depan belakang busuk mulut seperti banci cucoklah 2 banci tu
155,negative,amit amit deh orang jahat jilat bohong pelakor jijik banget
156,negative,wkwkwkwk allah tuhan ku kenapa orang munafik ini tapi sok suci mulan jamela ayu ting2 ngikuti jejak a wkwkwk
157,negative,dulu si pelakor yang sombong karena brhasil dapetin si botak smpe mnceraikan bunda maya skrg hdp ny mkin anjlok bunda maya yang sring jelong2 kluarnegri
158,negative,hahhahaha sungguh allah swt laknat wanita rebut zina suami sah oranglain
159,negative,lina2706 hemmmm capekmiskin sist skrg blik kelompok remaja lagi jadi artis juga g laku deh karma tu dr sirik nyinyirin nyonya tuh bantuin jual cireng nya tuh cilok nya tuh untun libur monaco bromo trus
160,negative,mau tahu urus orang sm nyonyiah kamu jongos memang tetehlu pas hamil peak udeh dinikahin brojol anak baru sirih memang lonteeeee kelas akun jamahliur junjung he
161,negative,eh jongos cba saya duluan yang tanya sm kamu memang nyonyiah gembar gembor sudah nikah ada nyonyiah aku udeh nikah dr tetehlu yang lonte perempuan eksperimen wanita tuna susila brojol aku nikah siri sm laki nyonyiah hamidun sapeak anak ilegal dibilng fitna keji tertawa lonte tolak lupa xixix
162,negative,saya currr bunmai sudah nikah tapi janda janda suami nya rampas mulan jameela jijik banget mulan jameela belum rumah tangga bunmai hancur sudah berani bilang dan suami aduha udh wanita be
163,negative,lina2706 lucu saja sist lonte bela2 mati2an goblok pelihara bayar begitu muljamban sampai bikin account maia nikah belum nikah urus situ nyinyir sirik nya
164,negative,yaela muljem kyak stu bner saja tidak inget udh ngrusak kbhagian keluarga orang bego di prtahanin ya gin
165,negative,lakik doyan banci banci kawinin banci jijik
166,negative,comment yang lihat berapa guna medsos yang bodoh bunyi situ sehat pakai hijab mas nyinyir saja
167,negative,mantri hutan dan lurah tuh kerudung sayang ibadah nya sholat saja drpd nyinyirin orang dandan udh sok suci mulut nya kaya sampah
168,negative,baca arti dr comment sudah kerdus bodoh lagi bilangin orang tua nya besok kalau masak pakai mecin jadi sudah kerdungab nggak sesuai mulut besok makan salmon kalau g besok deliv rumah
169,negative,maaf muka jelek attitude nya buruk spesialis plagiat dan tahu
170,negative,orang otak nggak sekolahin resiko sudah upload sosmed dapat bincang netizen public figure nggak otak
171,negative,artis kampung wkwk
172,negative,iyaaa saya pacar sudah nikah gak norak eloo gak risih emang jangan aplod perhati followers kamu yang lumayan sebentar bawa norak
173,negative,ya ampun pnyanyi dangdut tenar sombong bangt bacot pngn cari sensasi kmpungan bangt deh amit amit bool komando di instastory
174,negative,waaaaoooo sopan bahasami kelas heeeehh yang repot sama hidup kamu siapahh kamu live nampilin hal2 gak yang nggilanikk jijik liat orang pantes dikomen kalau gak now watching dikomen videoin pribadi saja nonton kamu sama keluarga kamu rumah nambah niy ertong yang gak pny attutude kampung
175,negative,norak sih kayak nggak malu kalau bilang serah sudah simpan foto gak bagi semua orang lah pamer resiko nyinyir orang insecure banget harus pamer2 gitu biar orang erti kalau si mbak udh py pacar yang dipamer2 pantat kampung banget
176,negative,kok marah sehhh dasar wanita kampung
177,negative,kampung artis yang numpang tenar gara2 muka katy perry doang
178,negative,susah kalau artis kampung
179,negative,ah min saya lama2 gak suka akun ini berita nya basi kamu lihat min si kellen amora dateng pakai jingkrak2 kamu saring min biar berita nya gak blunder kamu posting tu kd sudah posting videon kellen sama amora joget2 sama si arsya arsyi
180,negative,iya kilometer bening lewat bening buluk mbak mbak nelen apa sih komen kaya gin surup
181,negative,keluarga ngefans kagum lihat nya deh tapi lihat anak nya yang jelek buluk kan hermansyah kutuk yang timpa bunda kd untung allah swt ganti amora adik nya gemezzzzzzz lihat nya cocok banget anak artis class bunda kd
182,negative,emang dasar si anak nya saja yang lebih urus pribadi umbar biar blow up hadehh guna whatsapp sms or telepon suka aneh
183,negative,coba lihat bibir mu sayang pantat ayam wajah mu bulu kentut perfectoooo
184,negative,gagal fokus dengar suara kok jengkel dengernya maaf cuman manusia kalau jengkel
185,negative,muljem bicara gak blepot gak nyadar idup enak saja pakai rebut laki orang
186,negative,lucu si yang bikin kata2 bawa2 tuhan kalau deh pepet nggak tahu orang yang rusak rumah tangga orang ibarat roboh bangun masjid mbak nya bayangin saja nya dosa mu nasi deh jadi bubur mbak nya moga bahagia dunia
187,negative,iyah benar rubah pandang tuhan kamu setan mikirrrr suami majikan embat
188,negative,giling mulan jalang lagi kasih ceramah hahahaha dasar cireng gak tahu gak ngaca si cireng lagi ceramah sok2 seperti pahlawan siang biar teman sama ter seperti selpii
189,negative,pandang tuhan kamu jelek sih saya rebut suami orang tuh mulia mata tuhan
190,negative,karena sejati kamu setan wujud manusia karena kerja setan goda manusia
191,negative,tidak mbak baca netizen yang nyesel nggak bisa nimpuk telor si mulan saya saja ketawa baca karena wakil sedang apa buang2 wktu ketemu orang gak mutu dng si mulan masih untung nyempet2in bisa nuli biar nyadar tuh pelakor nggak harga lebih baik ketemu orang baik2 seperti bunmai tular aura positif
192,negative,editanx paraaaahh oplas saja laaah nyai drpd ngedit2 begini hahaa knot maluuu
193,negative,jelek lecek bantet
194,negative,gin ken tenar ampuuun mantri hutan dan lurah kalau anak yah kasi
195,negative,heran saya ibu kenapa saja pakai sama an v pesbu r ny bederet skandal bertubi2 gk mantri hutan dan lurah ny muka tembok gak faedah ny nonton acara yang si manusia kardus
196,negative,wey orang bodoh bedain vape shisha sm rokok kamu ngerokok pakai acara nggak aku
197,negative,jijik liat kaya ulet bulu kluget2 gitu hihihi ampe sgitunya ken kenal
198,negative,jarang belai anjing muka murah bangetttt najisss
199,negative,alycia iya sist jijik banget saya liat sok suci ngatain orang kalau saya sih malu artis papan otak gak fikir kalau bicara tahu bngt gada wibawa kalau emang nyadar tahu komentar manusia gada yang
200,positive,sabar yaa insya allah buka pintu syurga halang api neraka orang tua
201,positive,lagu baru mbak tata kisah rumah tangga mbak tata mbak tata bener2 sayang get suami syukur baik moga awet
202,positive,yang komen si mbak nggak sedih ketawa2 iya kalau deh sakit sm pasang smpe berlarut2 sedang apa sih sedih ampe depresi serahin sm allah saja bawa bahagia saja meski sakit si mbak senyum2 wajah tapi hati tahu senyum bisa jadi menetralisir kondisi hati yang lagi puruk pepatah bilang kalau bahagia jangan trllu bahagia kalau sedih jangan trllu sedih imbang saja biar nggak gila
203,positive,suka banget pasang moga gigi raffi keluarga sakinnah mawaddah warrahmah moga pihak2 pisah jodoh maut pisah amiin
204,positive,jemima anak angkat celine eleeya anak hubung celine dirly haru tahu jemima anak panti asuh rawat wajib ajar stefen pilih celine karena hati
205,positive,lucu yang bilang stefan menghabiskn muda wkwk umur mah gak muda muka saja yang baby face syukur bonus celinenya dulu mantan begimane bawah umur ude pacran mcam laki bini hiks lepas tu deh susah ambil putus kaya stefan tipical cowo yang tnggung jwabnya
206,positive,yang bawa2 keenan raisa sudah bahagia ngedapetin suami super ngemong mature kaya hamish raisa dewasa banding wanita umur mikirin jadi saya raisa hamish sama2 untung pasang suami istri nggak tuh gagal move on so congratz raisa hamish moga nikah sakinah mawadah warahmah
207,positive,raisa cantik yaaa artis nggak tonjol kalau nikah tuh mewah sudah cantik sederhana sempurna banget
208,positive,karena orang syudah cantik nggak dandan heboh untuk buat cantik makeup simple gitu saja pesona bikin hamish klepek2
209,positive,bagus cari ilmu mana suami orang didik
210,positive,sukak cewek cantik kmauan blajarnya
211,positive,yaampun artis benar benar good attitude layak panutan saja kuliah negri tapi karena bakti suami pilih kuliah wilayah suami salut banget
212,positive,semangat batman va support karena manusia salah bahas pliis karena sudah 2
213,positive,ya udh salam kenal ya mbk neng kenal sm mbk sbagai manusia ingetin ya sbagai manusia harus tahu jangan sombong yang digedein mentang2 deh jadi artis tertawa ya udh mbk pergi saja ya dari komen di foto ini nnt jadi korban dy sel
214,positive,keren yaaa sederhana pancar sukak sm keluarga presiden
215,positive,presiden embel gelar bangga
216,positive,proud of you indonesia god bless indonesia
217,positive,amazing bngt miss national costume kereenn bangga sama budaya indonesia
218,positive,bangga pasti
219,positive,proud of you kak dea patut bangga
220,positive,suka banget sm pidatox dy pembawaanx bgtu elegan dan brwibawah pntas mmg dy mdptkan salut
221,positive,percaya kak nik orang jujur semangat kak nik hebat
222,positive,m mbak saya juga nggak benci nikmir salut sama nggak munafik artis maaf image saja dpan sok sok aniaya dan jual air mata nikita real sygnya msyarakat cendrung yang yang superfisial
223,positive,cantik alami bedak tebel gaya bak tante2
224,positive,cantik gagah mudah lancar dampe h
225,positive,cantik tampil dewasa sesuai muka cantik indonesia classy ayu ayu bagaimana gitu
226,positive,lcb cantikk lcb untung dapat durian durian beuntung dapat neng lcb sakina mawaddah warahmah amin
227,positive,ganteng seragam ganteng panutan keluarga moga anak milik fisik elok mahluk allah ini
