,Sentiment,Tweet
51,-1,gilaaaaa pelakor bnget laki2 gatal alas poligam woiii mikir pakai otak haduh pikir pintar tahu agama buruk allah uji setia nafsu eh kaya gtu sakit istri sja tutup pintu rejekimu anak istri korban sbg seorg imam gagal mmpertahankan rumah tangga coreng nama sendiri smua suka skrg benci
52,-1,biasa pelakor lbh hancur muka istri sah barang bagus cepat laku pelakor jelek laku ngembat laki sudah sama2 gatel cocok wes
53,-1,lama2 tidak suka deh sm ini ertong caption ig story bicara mlu jadi ambigu nilai sudah begitu kaya zholimi salahinnya lawan jangan bicara status ah dewasa
54,-1,pikir manusia bodoh eehhh tante ibu oma empo otak picik bngt juga manusi larang emang dunia larang ngungkapin unek2 stupid human
55,-1,heran deh ngatain via baperan wajib ajar dese baper udin muak munafik sok an dese kabar baperan laki nyadar tuh puja att gotong royong nasehatin att gila muja att mojokin viaa dese manusia les ahh
56,-1,komen via nyinyir melulu aduh kyak tidak nyinyirin parah sok benar mah gitu pdhal media sosial hak instagram instagram nyinyir tidak pakai ig
58,-1,ngatain nyindir netijen goblog banyak masyako
59,-1,didik ortunya nagita bagus heran dengan balajaer nagita yah rugi sm junjunganny kenapa benci bodoh asli
60,-1,pdhl kilometer kampung loh pakai kerudung mulut cuihh
61,-1,belajaer tuh hahahaha bela artis ampe begitu manusah2 begoh
62,-1,iya norak kampyuung coba lihat artis adem ayem lihat isyana lihat agnezmo lihat liaaat liat coba telaah deh kasih tahu contoh artis better eh jawab cocok lah
63,-1,tidak sok high class lihat komenmu artis beda2 suka curah hati ig curah hati teman curah hati tuhan ngak trus mulut situ maju otak mikirnya curh
64,-1,bodoh tidak netizen kontra sm postingan via bakajaer kali mas ih bodoh piara tertawa
65,-1,emg artis komando artis indo ny urus prestasi sosmed ny melulu isi jadi jatoh kampung
66,-1,knot ya kaya agnes mau banyak harga ny tapi kampung beda am
67,-1,munafik bicara curah hati sosmed kampung kitu keleusss wkkwkww lebih baik via artis cantik bisa nyanyi lah lbh kampung wkwkwkwkw
68,-1,wawan zzzzz memang artis tmn dikit dikit att hahaha curah hati sosmed kampung
69,-1,lemes mulut berani ststus sudah gitu tulis sengaja biar baca takut kali labrak mmmm artis kampung wajib ajar
70,-1,main main jawa timur biar begok
72,-1,sudah nunjukin karya situ pny karya karya nyinyir hidup via tolol
73,-1,bilang fansnya via aduh nantangin ini anak tolol anak norak jarang belai
74,-1,yutub aplikasi tau youtube tidak tahu seseorg bisa dapat hasil salah satu dr youtube loh mreka juga bayar banyak video mreka sekolah benar deh biar pinter generasi muda
75,-1,suka gangerti deh yaa via vallen status apa sangkut pautin sama att melulu att fansnya jelek sangkut pautin melulu juga lama gerah kali
76,-1,jujur ini bagus tidak oplas tu foto belum dn oplas dioplas muka aneh kyknya gagal oplasnya
77,-1,noraaak abiiis kebel emas astrazeneca pamer aplg main berlian ciiinnnnn
78,-1,before and after pasca oplas ngefek tetep jelek dan rem muka ahahahhaha
79,-1,salfok muka sumpah jelek oplas model failed
80,-1,norak benar gaet jahat
81,-1,najis di philipine kali di bangga jadi usak moral komando bangga najis liat cukup di komen ny pngn ngetop lewat nitezerrre wkwkwk ngarep laku
82,-1,bingung jujur media rebut ngeliput kayak cuman net doang media informasi waras
83,-1,jedun becus perempuan hormat becus perempuan cerdas becus perempuan cari suami sah suami becus perempuan hindar narkotika psikotropika dan obat larang becus perempuan jaga nama moga perempuan kayak dunia jedun
84,-1,cewek bgni hrsnya gosong jadi abu bakar pabrik viral kemarin tu bnr2 slain brguna gda otak cm modal ngangkang terus gebet laki terus bangga ngomong-ngomong emg instastory nyindir bin tua mah ehhh at least biar becus jadi prewi tapi becus cuii jadi emak bukti anak banyak terus smua profesional emaknya drpd bapak
85,-1,hahaha kasi tidak becus rem ngerebut laki biar kata perempuan dasar perempuan sadar ente cuy
86,-1,dasar artis abal abal enggk laku layar kaca udh enggk duit kelompok remaja miskin main ke dukun elmu pelet rebut suami kaya
87,-1,ih becus makrum becus ngrebut suami he
88,-1,eeee lacur situ becus jadi brempuan emang becus sampah iya edeuuuuuh lonte lonte
89,-1,biarin puas puasin selagi deseu brasa muda nanti deh tua nyaho karma
90,-1,anak perempuan lho contohin jelek anak becus perempuan amit amit
91,-1,kaya becus jadi permpuan yng becus jadi perempuan komando suka sm laki orng heheh
92,-1,gk becus tuh loh jedun hidup bisa ngerusak kbhgiaan mau hidup serba mewah tapi krja mlh morotin laki karma pasti akn mnghampirimu
93,-1,tidak suka sm ini idupnya banyak ribut
95,-1,nama ny plagiat plagiat laku tapi tetep ajah cipta dari hasil plagiat wkwkwkwk mah tidak mau dwngerin ajah udh pngen muntah
96,-1,dasar plagiat kreatip memalukab
97,-1,bego bilang apa yaaa lirik cinta gitu lagu bener2 tolol ayu gapunya kuping ya dipermasalahin nada
98,-1,pacar anggel pietrs kali cowok bocah yaelah jes terxta laku mu seperti ayuting2 hidup penuh drama murah
99,-1,japok gateeel emang uda main mamad sampai jessica dimusuhin deddy corbuzier jijik japok semenjak nagita undang nagita cerita panggung
100,-1,malu buk bicara pelakor emang ibuk sudah pelakor tahu ayu pelakor wkwkwkwkwk awas rumah tangga dimasukin pelakor anak pelakor
101,-1,kerdus mulut busuk sampah makan
102,-1,tai gedein bagus pupuk jngan banyak bicara bodoh ini cewek kenapa bawa2 suku
103,-1,elo artis papan blenyek belagu artis kga populer sekalu hahaha
104,-1,anang muka kaya babiii gitu demenin jijikk
105,-1,suka ayu ting ting parah ngejudge hati otak manusia kurang lebih asa enak menjudge kaya sudah sempurna
106,-1,pantes panggil ustad munafik ceramah laku sndr menzolimi istri sah dengan poligami diam2 kasihan istri pertama tahu mantri hutan dan lurah istri hadeh masih manggil buat ceramah nama bodo
107,-1,biadab anak bully mampusin
108,-1,dasar anjing tuh cowok berani cowok one by one lemah dasar yah cowok2 jaman skrg casing doank cowok nyali lebih2 banci
109,-1,iya kasi micin usah produk micin iklan masak tambah micin biar sedap netizen sudut mecin bodoh ganggu jiwa ngemil micin
110,-1,wahh jngn2 vidio baju norak bngtt ayuu murahaan
111,-1,bego
112,-1,edit ampun mommy lambe habis gosib pelakor
113,-1,yah admin golong konsumsi mecin pria idam lain pcc otak rusak min
114,-1,govlok prcya ayu slgkuh sama rafi bukti rafi sama gigi skrg baek2 ktamu ayu pelakor suami di rebut woyy skrg ayu suami fikir pke otak mkanya jangan kbanyakan micin jadi govlok
115,-1,hoy baris sakit hati jijikk fans billy mah alhamdulillah billy putus manusiaa buluk ituu tunggu lama2 akhiry putus kobil juga jijik ini
116,-1,tidak ngerasa cinlok babang anthony ketemu set boy alah aku ajaaa dumang cinlok sok2 bilang tidak cinlok nama bodoh wajib ajar netizen bilang ratu cinlok nyata emang marah resiko artis hahahhaa pinter2 cari alas hahahahaha
117,-1,noh urus tu kuin biar gatel nempel2 sama laki orng masyarakat udh tahu kali japok gundik janda gatel udh nyata begtu anak sholehah agama kuat kuliah agama cma dapat 1 agama kuat tapi hamil
118,-1,bilang tu kuin gesek grepe sama lakik orng mantri hutan dan lurah udh hamil nikah kegatelan janda
119,-1,please bela pelakor hukum muljem karena uda tega recut suami sahabat jalan sanksi sosial valakor mesti benci karena biar valakor indonesia biar musnah sem
120,-1,najis muakk jijik pelakor jijik
121,-1,moga pelakor2 kena karma moga karma tinggal istri bwrjuang dengan dr nol tapi sukses selingkuh sok jadi kuasa istri
122,-1,sedih skrg ngamen kawin mantan istri mahhhh pesawat jet bhay pelakor dan botakbego
123,-1,heeehh pelakornya yaaaakkk ngapa emosi situuu kenal berani pakai akun asli pantes pakai akun bodong ngerebut laki diem2 ceplos yak pakai bodong tertawa gueeee lucu
124,-1,wkwkwkwk udh tidak laku jadi nyanyi dhajatan lonte pelakor
125,-1,wakakak cerita seperti gituu ajar jangan sampai ini swamik swamik milih pelakor drpd istri hancuuurr bookk bohong deh kelompok remaja kismin nyungsep emang ngatur rezeki tu tuha
126,-1,cwenya bego cwonya pinter emg laki kaya macho gitu plus kayak jago suka rayu maennya gesit ulala
127,-1,bodoh sedang apa depok komen tidak hidup tidak bahagia suka hujat hidup artis ayu pengaruh emang dasar benci ayu
128,-1,mah lihat main prasangka kayak haters kayak dukun dukun titis dajjal sok pinter otak kosong maaf ye bala nabi muhammad percaya udh ditunjukkin 4 saksi bukti
129,-1,ku sepet baca koment fans ubul empang minggir woy rusuh ini jaer amis jijik sumpah soal enji sm cewek ttp bala jaer nyampah ribut
130,-1,enji hart males jijik laki model mah tidak tanggung jwbnya ayu bunting tinggalin anak tidak akuin skrg anak udh nongol bilqis cantek eh sampek bini ngeposting enji kangen anak najonggg jijik betoll deh deh min tidak bahas laki hart tidak panutan ambil
131,-1,bego percaya diri bicara bilang benar bukti tidak lihat pinter jatohnya bego
132,-1,bilang enji ganteng bebas slingkuh bego kali ganteng bau menyan gada ganteng ganteng banyak gaya seperti mantan bini depok
133,-1,sebenarnye cocok enji att gateeeel hahah pantesan tongtong temu dengan enji udh hukum alam jodoh cermin entong hrsnya bekaca dengan biar sadar tapi teryata otak 1 tetep tahan jadi skrg mlh guatelnye seperti enji hah
134,-1,oalaahhh pelakor laki juga kegatelan tapi nama laki kucing ksh ikan jaer gratis kga nolak wkwkkwkw
135,-1,laki2 sis suka pecun2 murah prempuan baik2 jilbab atau pintar enji2 downgrade dangdut kelas prempuan jilbab ehh milih perek culun jelek selera
136,-1,motorninja sombong mobil lamborgini wae
137,-1,bodoh kali kaget
138,-1,usa pakai anjing babi balas gitu wkwk
139,-1,kemarin harga karya bilang jelek aduh penganten perempuan kenyang yah ampe kembung gitu perut
140,-1,percaya gimik raffi gigi dn att att serta hujad dn anak ny hujad kesini tonton bodohin publik kasihan penghujad ayu pesbukers biar ngeluarkn album single artis hal nengri gimik yoo
141,-1,benar gimmick bodoh ayu rating dan popularitas berani taruhin harga nilai buruk masyarakat
142,-1,susah otak diemvang mah rusuh lapak
143,-1,najiiisss kayak dese gitu ajaaa hahahahaha maling teriak maling ngaca buuuuuk
144,-1,iyak kaa hahahahah geli gasih att ih kampung habis
145,-1,joget ngakakkk anjirrrr kampung
146,-1,bagus lah otak tidak kayak mantri hutan dan lurah maluin ibu tong akun asli pakai tu nama bego
147,-1,bego mah beri contoh buruk anak pakai emg dugem bawa anak bego - - jaman sudah texas jamin jam anak juga udh texas ngerugiin ya sudah sewot
148,-1,wanita jahiliyah lesbi skrg udh py pacar kasi anak kemarin ksh bencana slnya tega misahin anak dr ktakutan anak masuk islam pdhl bp pernah nuntut anak peluk islam udh ksh nikmat anak 3 masih nakal
149,-1,emang kador artis beneran komen tolol sumpah kenal nilai artis hahaha indo juga tuju kador artis tapi celebgram dr kampung tahu beda artis dengan selebgra
150,-1,hahahaaaa terus tolol pakai tanya kador banci tidak belum kenal wkwkwkwkw eh juga nilai kador banci beneran dr gerak gerik melambay suara ngondek pakai baju cewek nyaman cowok tu
151,-1,maklumin shaaay fans gatis keras otak bebel realita juga terima hal nagita artis uda dr jaman eh bilang numpang tenar rapi mamad pdhl jadi mamad gede ya ph dan
152,-1,bee idih najong tag2 nimbrung seperti mujaer kenal bawa2 nama ayu ting ting sm nagita aduh bego piara kasihan
153,-1,langsung bilang maksud klu gin nama munafik
154,-1,jedar emg muka 2 kali depan belakang busuk mulut seperti banci cucoklah 2 banci tu
155,-1,amit amit deh jahat jilat bohong pelakor jijik
156,-1,wkwkwkwk allah tuhan ku kenapa munafik ini tapi sok suci mulan jamela ayu ting2 ngikuti jejak wkwkwk
157,-1,dulu pelakor sombong karena brhasil dapetin botak smpe mnceraikan bunda maya skrg hdp ny mkin anjlok bunda maya sring jelong2 kluarnegri
158,-1,hahhahaha sungguh allah swt laknat wanita rebut zina suami sah oranglain
159,-1,lina2706 hemmmm capekmiskin sist skrg blik kelompok remaja jadi artis juga laku deh karma tu dr sirik nyinyirin nyonya tuh bantuin jual cireng tuh cilok tuh untun libur monaco bromo trus
160,-1,mau tahu urus sm nyonyiah jongos memang tetehlu pas hamil peak udeh dinikahin brojol anak baru sirih memang lonteeeee kelas akun jamahliur junjung he
161,-1,eh jongos cba duluan tanya sm memang nyonyiah gembar gembor sudah nikah ada nyonyiah aku udeh nikah dr tetehlu lonte perempuan eksperimen wanita tuna susila brojol aku nikah siri sm laki nyonyiah hamidun sapeak anak ilegal dibilng fitna keji tertawa lonte tolak lupa xixix
162,-1,currr bunmai sudah nikah tapi janda janda suami rampas mulan jameela jijik mulan jameela belum rumah tangga bunmai hancur sudah berani bilang dan suami aduha udh wanita be
163,-1,lina2706 lucu sist lonte bela2 mati2an goblok pelihara bayar begitu muljamban sampai account maia nikah belum nikah urus situ nyinyir sirik
164,-1,yaela muljem kyak stu bner tidak inget udh ngrusak kbhagian bego di prtahanin ya gin
165,-1,lakik doyan banci banci kawinin banci jijik
166,-1,comment lihat berapa guna medsos bodoh bunyi situ sehat pakai hijab mas nyinyir
167,-1,mantri hutan dan lurah tuh kerudung sayang ibadah sholat drpd nyinyirin dandan udh sok suci mulut kaya sampah
168,-1,baca arti dr comment sudah kerdus bodoh bilangin tua besok masak pakai mecin jadi sudah kerdungab sesuai mulut besok makan salmon besok deliv rumah
169,-1,maaf muka jelek attitude buruk spesialis plagiat dan tahu
170,-1,otak sekolahin resiko sudah upload sosmed dapat bincang netizen public figure otak
171,-1,artis kampung wkwk
172,-1,iyaaa pacar sudah nikah tidak norak eloo tidak risih emang jangan aplod perhati followers lumayan sebentar bawa norak
173,-1,ya ampun pnyanyi dangdut tenar sombong bangt bacot pngn cari sensasi kmpungan bangt deh amit amit bool komando di instastory
174,-1,waaaaoooo sopan bahasami kelas heeeehh repot sama hidup siapahh live nampilin hal2 tidak nggilanikk jijik liat pantes dikomen tidak now watching dikomen videoin pribadi sama rumah nambah niy ertong tidak pny attutude kampung
175,-1,norak kayak malu bilang serah sudah simpan foto tidak bagi semua lah pamer resiko nyinyir insecure harus pamer2 gitu biar erti udh py pacar dipamer2 pantat kampung
176,-1,kok marah sehhh dasar wanita kampung
177,-1,kampung artis numpang tenar gara2 muka katy perry doang
178,-1,susah artis kampung
179,-1,ah min lama2 tidak suka akun ini berita basi lihat min kellen amora dateng pakai jingkrak2 saring min biar berita tidak blunder posting tu kd sudah posting videon kellen sama amora joget2 sama arsya arsyi
180,-1,iya kilometer bening lewat bening buluk nelen apa komen kaya gin surup
181,-1,ngefans kagum lihat deh tapi lihat anak jelek buluk kan hermansyah kutuk timpa bunda kd untung allah swt ganti amora adik gemezzzzzzz lihat cocok anak artis class bunda kd
182,-1,emang dasar anak lebih urus pribadi umbar biar blow up hadehh guna whatsapp sms or telepon suka aneh
183,-1,coba lihat bibir mu sayang pantat ayam wajah mu bulu kentut perfectoooo
184,-1,gagal fokus dengar suara kok jengkel dengernya maaf cuman manusia jengkel
185,-1,muljem bicara tidak blepot tidak nyadar idup enak pakai rebut laki
186,-1,lucu kata2 bawa2 tuhan deh pepet tahu rusak rumah tangga ibarat roboh bangun masjid bayangin dosa mu nasi deh jadi bubur moga bahagia dunia
187,-1,iyah benar rubah pandang tuhan setan mikirrrr suami majikan embat
188,-1,giling mulan jalang kasih ceramah hahahaha dasar cireng tidak tahu tidak ngaca cireng ceramah sok2 seperti pahlawan siang biar teman sama ter seperti selpii
189,-1,pandang tuhan jelek rebut suami tuh mulia tuhan
190,-1,karena sejati setan wujud manusia karena kerja setan goda manusia
191,-1,tidak baca netizen nyesel bisa nimpuk telor mulan ketawa baca karena wakil sedang apa buang2 wktu ketemu tidak mutu dng mulan masih untung nyempet2in bisa nuli biar nyadar tuh pelakor harga lebih baik ketemu baik2 seperti bunmai tular aura positif
192,-1,editanx paraaaahh oplas laaah nyai drpd ngedit2 begini hahaa knot maluuu
193,-1,jelek lecek bantet
194,-1,gin ken tenar ampuuun mantri hutan dan lurah anak yah kasi
195,-1,heran ibu kenapa pakai sama an pesbu ny bederet skandal bertubi2 gk mantri hutan dan lurah ny muka tembok tidak faedah ny acara manusia kardus
196,-1,wey bodoh bedain vape shisha sm rokok ngerokok pakai acara aku
197,-1,jijik liat kaya ulet bulu kluget2 gitu hihihi ampe sgitunya ken kenal
198,-1,jarang belai anjing muka murah bangetttt najisss
199,-1,alycia iya sist jijik liat sok suci ngatain malu artis papan otak tidak fikir bicara tahu bngt gada wibawa emang nyadar tahu komentar manusia gada
200,1,sabar yaa insya allah buka pintu syurga halang api neraka tua
201,1,lagu baru tata kisah rumah tangga tata tata bener2 sayang get suami syukur baik moga awet
202,1,komen sedih ketawa2 iya deh sakit sm pasang smpe berlarut2 sedang apa sedih ampe depresi serahin sm allah bawa bahagia meski sakit senyum2 wajah tapi hati tahu senyum bisa jadi menetralisir kondisi hati puruk pepatah bilang bahagia jangan trllu bahagia sedih jangan trllu sedih imbang biar gila
203,1,suka pasang moga gigi raffi sakinnah mawaddah warrahmah moga pihak2 pisah jodoh maut pisah amiin
204,1,jemima anak angkat celine eleeya anak hubung celine dirly haru tahu jemima anak panti asuh rawat wajib ajar stefen pilih celine karena hati
205,1,lucu bilang stefan menghabiskn muda wkwk umur mah tidak muda muka baby syukur bonus celinenya dulu mantan begimane bawah umur ude pacran mcam laki bini hiks lepas tu deh susah ambil putus kaya stefan tipical cowo tnggung jwabnya
206,1,bawa2 keenan raisa sudah bahagia ngedapetin suami super ngemong mature kaya hamish raisa dewasa banding wanita umur mikirin jadi raisa hamish sama2 untung pasang suami istri tuh gagal move on so congratz raisa hamish moga nikah sakinah mawadah warahmah
207,1,raisa cantik yaaa artis tonjol nikah tuh mewah sudah cantik sederhana sempurna
208,1,karena syudah cantik dandan heboh untuk buat cantik makeup simple gitu pesona hamish klepek2
209,1,bagus cari ilmu mana suami didik
210,1,sukak cewek cantik kmauan blajarnya
211,1,yaampun artis benar benar good attitude layak panutan kuliah negri tapi karena bakti suami pilih kuliah wilayah suami salut
212,1,semangat batman va support karena manusia salah bahas pliis karena sudah 2
213,1,ya udh salam kenal ya mbk neng kenal sm mbk sbagai manusia ingetin ya sbagai manusia harus tahu jangan sombong digedein mentang2 deh jadi artis tertawa ya udh mbk pergi ya dari komen di foto ini nnt jadi korban dy sel
214,1,keren yaaa sederhana pancar sukak sm presiden
215,1,presiden embel gelar bangga
216,1,proud of you indonesia god bless indonesia
217,1,amazing bngt miss national costume kereenn bangga sama budaya indonesia
218,1,bangga pasti
219,1,proud of you kak dea patut bangga
220,1,suka sm pidatox dy pembawaanx bgtu elegan dan brwibawah pntas mmg dy mdptkan salut
221,1,percaya kak nik jujur semangat kak nik hebat
222,1,juga benci nikmir salut sama munafik artis maaf image dpan sok sok aniaya dan jual air nikita real sygnya msyarakat cendrung superfisial
223,1,cantik alami bedak tebel gaya bak tante2
224,1,cantik gagah mudah lancar dampe
225,1,cantik tampil dewasa sesuai muka cantik indonesia classy ayu ayu bagaimana gitu
226,1,lcb cantikk lcb untung dapat durian durian beuntung dapat neng lcb sakina mawaddah warahmah amin
227,1,ganteng seragam ganteng panutan moga anak milik fisik elok mahluk allah ini
228,1,untung deh dapat mas ganteng sholeh sayang ini suami idam moga samawa
229,1,smoga mas agus pimpin datang salah pimpin sukses sukses dalam pimpin dalam rumah tangga
230,1,dear bapak cra berpakain bapak cermin pribadi bapak sngt lembut tapi gagah moga bapak lurah dalam lindung allah swt salam hormat dari kagum bapak -
231,1,sukses kak ayu moga senantiasa naung allah swt sehat amin
232,1,smg sehat umur yah nek muda cantik mashaallahhh
233,1,terimakasih pilih plataran darmawangsa acara staff plataran darmawangsa kes tunggu datang sehat amin amin rabbi
234,1,salam dirgantara terima kasih dukung sebar awareness kait program pesawat r80 moga momen emas titik bangkit industri pesawat terbang indonesia jaya eyang habibie yuk satu langkah terbang pesawat r80 langsung klik link bio yaaa
235,1,semangat eyang habibie sehat dalam lindung allah ambisi kuat dalam kereeeennnnn moga banyak penurus2 bangsa seperti eyang habibie
236,1,milik cucu2 kebahagian nilai cucu sbg generasi terus bangsa
237,1,wahhh kerenn tempat bagus nostalgia bersmaa
238,1,cantik ganteng sehat bu ani
239,1,barakallah cucu2 cantik ganteng moga anak sholeh sholeha bangga kelg
240,1,bu cucu hati gembira ngangeni kadang kangen ceria salam kangen cucu2 cinta
241,1,lucu ganteng parah gede pinternya ketulungan salam hormat bu
242,1,terima kasih sby ani tani beliau kontribusi indonesia 10 pimpin moga bahagia sehat amin
243,1,caption kali baca captionnya langsung ajar bahasa inggris terima kasih personal tidak kenal anie tapi betapa bangga anak cucu didik generasi bangsa mandiri unggul sehat moga cinta kasih engkau tebar
244,1,assalamualaikum hormat salam banda aceh bangga bahagia sikap etika perilaku sungguh bijaksana mas agus suami calon presiden beliau bangga salam hangat kenal bu darmanto rapi photo studio
245,1,senang lihat dan bapak sby nikmat tua brsama cucu cinta sehat terus memo dan pepo allah swt lindung memo dan pepo dan lurah
246,1,semangat mebangun indonesia maju jokowi
247,1,artis kualitas wajah itulohhh kualitas hihi cantik bangetsss top deh pakai drama gimick idupnya hihi kaya tapi sederhana
248,1,via sptnya siyok kejam dunia artis an mudah2an tetep sabar tetep karya dengan
249,1,suka via jujur tidak gimmick2an hidup bicara blak2an tidak suka dy bicara jadi pura2 munafik seperti ajar tua suka senyum palsu kaya artis onoh noh mulut lebar kya gorong2 tukang bohong munafik wartawan juga perilaku sama omong balance
250,1,go head via cuekin aja sudah gaul dunia kerja masyarakat gaul ertong gatel bin sirik lihat sukses anggep kuman tidak status neng bahan ngetawain
251,1,gagah kali abang borisq gk bc nmx bner2 gk sadar it bang bor
252,1,weewww bangga kali liat bang pakai baju adat biro syip
253,1,bagus baju anti bahagia weding
254,1,masyaallah bagus
255,1,gileee suaraaanyaa kereen parah sukak
256,1,keren dr nyanyi asli
257,1,kereeeeeeeeeeeeeeennn sampai merinding brrrrr
258,1,yatuhan suaranyaaaaaaa bagus bangetttttttt
259,1,keren suara super merdu coba audisi nyanyi bakat bisa salur
260,1,bagus drpd artis modal tampang doang pdhl suara jelek mending mas nyanyi emg dasar nasib yak gk tahu moga mas sukses
261,1,dgrin sampai bulu kuduk saking bgusnya masyaallah apik suara
262,1,subhanallah getar hati dengar suara
263,1,allah suara bagus cantik idam cowo
264,1,bagusss suara tampil sesuai anak sekolah natural sesuai usia
265,1,kerennnn suara bagus
266,1,cantik polos lihat bakat moga sudah tenar gek selebgram kaya2 novilda adik hilang arah tetap cepat tumbuh dewasa asah bakat allah bless you both
